workload1,workload2,freq1,freq2,iterations,w1_proposal_percentage,w2_proposal_percentage,w1_fair_percentage,w2_fair_percentage,w1_optimal_percentage,w2_optimal_percentage,total_throughput_at_selected,w1_throughput_at_selected,w2_throughput_at_selected,w1_arrival,w2_arrival,w1_change_factor,w2_change_factor,w1_residual_selected,w2_residual_selected
fastWalshTransform_batch2-cuda_samples,mobilenet_v2_1.0_224_batch2-inf,300.0,300.0,2,60.0,40.0,60.0,40.0,60.0,40.0,83.134,17.34,65.794,25.884299,81.52897271058606,0.4927508073817762,0.23915513132787283,-8.544298999999999,-15.734972710586064
fastWalshTransform_batch2-cuda_samples,resnet-50_batch2-inf,300.0,300.0,2,60.0,40.0,60.0,40.0,60.0,40.0,54.813,17.292,37.521,25.884299,52.67105010726058,0.4968944598658337,0.40377522206925653,-8.592298999999997,-15.150050107260576
fastWalshTransform_batch2-cuda_samples,resnet-50_batch2-train,300.0,300.0,2,60.0,40.0,60.0,40.0,60.0,40.0,36.839,17.059,19.78,25.884299,30.013618896435663,0.5173397620024619,0.5173720372313276,-8.825298999999998,-10.233618896435662
fastWalshTransform_batch2-cuda_samples,vit-base-patch16-224_batch2-inf,300.0,300.0,2,60.0,50.0,54.54545454545455,45.45454545454545,50.0,50.0,31.378,14.685,16.693,25.884299,28.79960639952206,0.7626352740892065,0.7252504881999674,-11.199298999999998,-12.106606399522057
fastWalshTransform_batch2-cuda_samples,vit_h_14_batch2-train,300.0,300.0,2,60.0,80.0,42.85714285714286,57.142857142857146,40.0,60.0,13.003,12.163,0.84,25.884299,1.3865983171738605,1.128117980761325,0.650712282349834,-13.721298999999998,-0.5465983171738605
fastWalshTransform_batch2-cuda_samples,wav2vec2-base-960h_batch2-inf,300.0,300.0,2,60.0,80.0,42.85714285714286,57.142857142857146,40.0,60.0,18.0,12.077,5.923,25.884299,9.683122051755843,1.1432722530429742,0.6348340455437858,-13.807298999999999,-3.760122051755843
fastWalshTransform_batch2-cuda_samples,whisper-large-v2_batch2-inf,300.0,300.0,2,60.0,60.0,50.0,50.0,50.0,50.0,14.878,14.591,0.287,25.884299,0.638458413140635,0.773990747721198,1.2245937740091815,-11.293299,-0.35145841314063503
mobilenet_batch2-train,mobilenet_batch2-train,300.0,300.0,2,40.0,40.0,40.0,40.0,40.0,60.0,95.878,45.734,50.144,52.38470229739446,52.38470229739446,0.14542139977685004,0.04468535213374409,-6.65070229739446,-2.2407022973944635
mobilenet_batch2-train,mobilenet_v2_1.0_224_batch2-inf,300.0,300.0,2,40.0,40.0,40.0,40.0,40.0,60.0,121.50999999999999,45.681,75.829,52.38470229739446,81.52897271058606,0.14675034034706913,0.07516877066275525,-6.703702297394464,-5.699972710586067
mobilenet_batch2-train,reductionMultiBlockCG_batch2-cuda_samples,300.0,300.0,2,40.0,40.0,40.0,40.0,40.0,60.0,158.85,44.33,114.52,52.38470229739446,177.77344,0.18169867578151283,0.5523353126091513,-8.054702297394464,-63.25344
